DNOV1	Dromaius novaehollandiae
HSAP1	Homo sapiens
MICE1	Mus musculus
CDID1	Choloepus didactylus
DGLI1	Dromiciops gliroides
OANA1	Ornithorhynchus anatinus
TACU1	Tachyglossus aculeatus
ASIN1	Alligator sinensis
CPOR1	Crocodylus porosus
SPUN1	Sphenodon punctatus
PMUR1	Podarcis muralis
CMYD1	Chelonia mydas
GEVG1	Gopherus evgoodei
CPLA1	Chiloscyllium plagiosum
AMRA1	Amblyraja radiata
CMIL1	Callorhinchus milii
LAMP1	Lampea sp. Ct11R
SAME1	Symbion americanus
SPAN1	Symbion pandora
DICY1	Dicyemida sp. 4 KMK-2022
DIKM1	Dicyemida sp. 5 KMK-2022
ARUB1	Asterias rubens
ANJA1	Anneissia japonica
LVAR1	Lytechinus variegatus
CHEH1	Chiridota heheva
BAGR2	Barentsia gracilis
LNOR1	Loxosomella nordgaardi
LOKK1	Loxomitra sp. KK-2020
PCER1	Pedicellina cernua
DASP1	Diuronotus aspetos
MLAT1	Mesodasys laticaudatus
SKOW1	Saccoglossus kowalevskii
PTFL1	Ptychodera flava
CEPH1	Cephalodiscus
RANN1	Rhabdopleura annulata
CYUS1	Cristaphyes yushini
PGIG1	Pycnophyes giganteus
PILY1	Pycnophyes ilyocryptus
CSTY1	Cateria styx
DABE1	Dracoderes abei
FKAL1	Franciscideres kalenesos
PQUA1	Paracentrophyes quadridentatus
EOHT1	Echinoderes ohtsukai
TSEM1	Tubulideres seminoli
CSPI1	Centroderes spinosus
SARM1	Semnoderes armiger
APAU1	Antygomonas paulae
ZBRI1	Zelinkaderes brightae
ZYON1	Zelinkaderes yong
CVAN1	Campyloderes vanhoeffeni
LMAE1	Limnognathia maerski
SCON2	Sinonovacula constricta
SBRO1	Scapharca (Anadara) broughtonii
DROS1	Dreissena rostriformis
MARE1	Mya arenaria
BPLA1	Bathymodiolus/Gigantidas platifrons
MCOR2	Mytilus unguiculatus
NTUM1	Nucula tumidula
CGIG2	Magallana gigas
CRVI2	Crassostrea virginica
MHON1	Magallana hongkongensis
OEDU1	Ostrea edulis
SGLO1	Saccostrea glomerata
APUR1	Argopecten purpuratus
MYES2	Mizuhopecten (Patinopecten) yessoensis
PMAX1	Pecten maximus
MMAR2	Margaritifera margaritifera
CPLI1	Cristaria plicata
CNIT1	Chaetoderma nitidulum
FCAU1	Falcidens caudatus
FSAG1	Falcidens sagittiferus
SVEN1	Scutopus ventrolineatus
ADUX1	Architeuthis dux
CCAL1	Chiroteuthis calyx
IPYG1	Idiosepius pygmaeus
NPOM2	Nautilus pompilius
OBAN1	Onychoteuthis banksii
OBIM1	Octopus bimaculoides
ODEL1	Octopoteuthis deletron
OSIN2	Octopus sinensis
PHOY1	Pterygioteuthis hoylei
VINF1	Vampyroteuthis infernalis
BATT1	Batillaria attramentaria
HBRA1	Hinea brasiliana
SECO1	Semisulcospira coreana
LNYA2	Lanistes nyassanus
MACO1	Marisa cornuarietis
PCAN2	Pomacea canaliculata
PMAC2	Pomacea maculata
BSIA1	Bithynia siamensis goniomphalos
CNAV1	Crepidula navicella
PELE1	Pomatias elegans
OHUP1	Oncomelania hupensis
CLAM1	Charonia lampas
AHEL1	Anentome helena
HPHY1	Hydatina physis
RCAR1	Rissoella caribaea
HANT1	Haminoea antillarum
LSTA1	Lymnaea stagnalis
PCOL1	Pseudosuccinea columella
PACU1	Physella acuta
BGLA2	Biomphalaria glabrata
MLEO1	Melibe leonina
ERUS1	Eubranchus rustyus
HCRA1	Hermissenda crassicornis - Hermissenda opalescens
PBUC1	Phylliroe bucephala
CARY1	Carychium sp.
ECHI1	Ellobium chinense
PPAC1	Pythia pachyodon
AIMM1	Achatina/Lissachatina immaculata
DRET1	Deroceras reticulatum
ARVU2	Arion vulgaris
ACHE1	Aegista chejuensis
BSIM1	Bradybaena similaris
FKUR1	Fruticicola (Koreanohadra) kurodana
PQUE1	Plectotropis quelpartensis
ABIP1	Alinda biplicata
CUNI3	Candidula unifasciata
CASP1	Cornu aspersum
HLUC1	Helix lucorum
TPIS1	Theba pisana
AVAL1	Ambigolimax valentianus
LFLA1	Limacus flavus
LMAX1	Limax maximus
OFLO1	Onchidella floridana
OREE1	Onchidium reevesii
MBIL1	Meghimatium bilineatum
MFRU1	Meghimatium fruhstorferi
OVER1	Onchidium verrucosum
PLCA1	Pleurobranchaea californica
CLAN1	Clione antarctica
PSOL1	Phallomedusa solida
CNON1	Costasiella nonatoi - Panderevela nonatoi
COCE1	Costasiella ocellifera
COST1	Costasiella sp.1
CALI1	Caliphylla sp.4
CANT1	Cyerce aff. antillensis
CBEA1	Cylindrobulla beauii
MOUR1	Mourgona sp.5
AMOD1	Alderia modesta
APLY1	Aplysiopsis enteromorphae
EBOO1	Ercolania boodleae
OHAN1	Olea hansineensis
PKIN1	Placida kingstoni
SSMA1	Sacoproteus smaragdinus
LNEV1	Lobiger nevilli
ECHL1	Elysia chlorotica
ECRI1	Elysia crispata
EHED1	Elysia hedgpethi
ERUF1	Elysia rufescens
ETIM1	Elysia timida
EVEL1	Elysia velutinus
PIAN1	Plakobranchus ianthobapsus
THGR1	Thuridilla gracilis
SIPH1	Siphonaria sp.2
SNOR1	Siphonaria normalis
SPEC1	Siphonaria pectinata
WPEL1	Williamia peltoides
COJA1	Cocculina japonica
GAEG2	Gigantopelta aegis
CSQU2	Chrysomallon squamiferum
AOSU1	Aphanoconia osumiense
CLRE1	Clithon retropictum
NALB1	Nerita albicilla
NPUL1	Neritina pulligera
TLIM1	Titiscania limacina
EOPU1	Eoacmaea pustulata
LGIG1	Lottia gigantea
NIFU1	Nipponacmea fuscoviridis
PSAC1	Patelloida saccharina
CGRA1	Cellana grata
CRAD1	Cellana radiata
PULY1	Patella ulyssiponensis
FNAT1	Fissurella natalensis
BMID1	Bayerotrochus midas
PVEN1	Phasianella ventricosa
MLAB1	Monodonta labio
OTAB1	Oxystele tabularis
PTUR1	Phorcus turbinatus
TNIG1	Trochus nigropunctatus
LHYA1	Laevipilina hyalina
ACGR1	Acanthopleura granulata
ACRI1	Acanthochitona crinita
AGEM1	Acanthopleura gemmata
CAPI1	Chaetopleura apiculata
CLAR1	Cryptoplax larvaeformis
COLI1	Chiton olivaceus (Rhyssoplax olivaceus)
CTUB1	Chiton tuberculatus
KTUN1	Katharina tunicata
LRUG1	Leptochiton rugatus
MMUS1	Mopalia muscosa
NMIR1	Nuttallochiton mirandus
TLIN1	Tonicella lineata
AENT2	Antalis entalis
GEBO1	Graptacme eborea
GTOL1	Gadila tolmiei
ACRA1	Alexandromenia crassa
AENI1	Apodomenia enigmatica
AMSP1	Amphimeniidae sp.
ENTR1	Entonomenia tricarinata
GPEL1	Gymnomenia pellucida
HAEG1	Helluoherpia aegiri
MFOD1	Micromenia fodiens
MSCH1	Macellomenia schanderi
MSWE1	Meiomenia swedmarki
PCUS1	Proneomenia custodiens
SIMA1	Simrothiella margaritacea
SSUL1	Stylomenia sulcodoryata
DORY1	Dorylaimopsis sp. T63
EUCH1	Euchromadora sp. MIHIF
